Honduras,"3,974","5,241","9,215","4,409","6,189","10,598","3,907","5,703","9,610"
"Hong Kong Special Administrative
Region","4,211","3,125","7,336","5,977","4,435","10,412","7,820","6,097","13,917"
Hungary,"9,419","8,120","17,539","10,973","10,022","20,995","10,649","9,527","20,176"
Iceland,"1,203","1,530","2,733","1,510","1,860","3,370","1,026","1,188","2,214"
Indonesia,"13,200","14,708","27,908","12,314","13,941","26,255","10,214","12,016","22,230"
Iran,"369,118","323,292","692,410","554,327","483,027","1,037,354","499,135","433,211","932,346"
Iraq,"8,026","12,655","20,681","8,852","14,566","23,418","10,287","16,115","26,402"
Ireland,"7,501","3,969","11,470","7,925","4,357","12,282","7,298","3,980","11,278"
Israel,"9,694","11,807","21,501","10,622","13,346","23,968","10,729","13,386","24,115"
Italy,"22,394","13,058","35,452","28,813","17,820","46,633","30,386","18,572","48,958"
Japan,"29,650","22,125","51,775","29,482","22,164","51,646","28,521","21,980","50,501"
Jordan,"11,039","18,064","29,103","14,305","23,770","38,075","15,128","24,691","39,819"
Kazakhstan,"17,681","20,862","38,543","20,425","23,719","44,144","21,644","24,969","46,613"
Kenya,"181,346","84,128","265,474","149,990","72,759","222,749","131,949","61,692","193,641"
Kiribati,59,62,121,60,80,140,62,86,148
Kosovo,"7,042","8,623","15,665","6,104","7,728","13,832","8,708","10,084","18,792"
Kuwait,"5,710","9,641","15,351","6,662","12,336","18,998","6,773","12,364","19,137"
Kyrgyzstan,"8,592","10,361","18,953","10,838","13,080","23,918","12,623","14,804","27,427"
Laos,260,297,557,238,304,542,207,228,435
Latvia,"4,641","4,114","8,755","4,496","4,107","8,603","3,922","3,502","7,424"
Lebanon,"12,007","18,790","30,797","13,409","22,671","36,080","13,233","21,547","34,780"
Lesotho,129,103,232,114,125,239,197,155,352
Liberia,"84,778","57,520","142,298","124,008","92,241","216,249","217,526","140,698","358,224"
Libya,"3,883","5,109","8,992","4,533","6,150","10,683","6,674","9,200","15,874"
Liechtenstein,44,33,77,47,31,78,53,30,83
Lithuania,"10,788","9,661","20,449","11,004","9,896","20,900","10,016","8,719","18,735"
Luxembourg,295,208,503,336,248,584,331,214,545
"Macau Special Administrative
Region",405,218,623,576,330,906,818,440,"1,258"
Macedonia,"9,877","8,792","18,669","11,283","10,282","21,565","17,645","16,085","33,730"
Madagascar,"1,195","1,404","2,599","1,073","1,259","2,332","2,078","2,528","4,606"
Malawi,"1,071","1,018","2,089","1,109","1,237","2,346",956,"1,026","1,982"
Malaysia,"6,712","6,608","13,320","6,572","6,308","12,880","6,641","6,267","12,908"
Maldives,177,196,373,160,206,366,154,181,335
Mali,"4,518","1,758","6,276","5,745","2,331","8,076","7,272","2,702","9,974"
Malta,271,237,508,316,298,614,270,241,511
Marshall Islands,30,24,54,13,5,18,14,8,22
Martinique,,,0,,,0,N/A,N/A,N/A
Mauritania,"1,540",599,"2,139","1,389",636,"2,025","1,722",788,"2,510"
Mauritius,"1,810","1,937","3,747","1,541","1,829","3,370","1,422","1,578","3,000"
Mayotte,15,1,16,19,17,36,10,13,23
"Federated States of Micronesia",24,19,43,21,22,43,32,15,47
Moldova,"65,058","43,507","108,565","99,684","62,977","162,661","119,319","73,969","193,288"
Monaco,54,31,85,77,39,116,76,34,110
Mongolia,"8,293","11,245","19,538","6,315","8,465","14,780","7,605","10,393","17,998"
Montenegro,567,440,"1,007",899,577,"1,476",925,698,"1,623"
Morocco,"98,314","21,129","119,443","93,295","21,940","115,235","113,309","25,699","139,008"
Mozambique,342,412,754,368,516,884,330,366,696
Namibia,507,458,965,535,498,"1,033",732,506,"1,238"
Nauru,90,45,135,82,31,113,132,73,205
Nepal,"308,794","187,616","496,410","380,289","233,096","613,385","545,825","347,136","892,961"
Netherlands,"5,419","4,543","9,962","5,984","5,171","11,155","5,585","4,746","10,331"
Netherlands Antilles,,,0,,,0,,,0
New Caledonia,106,96,202,103,93,196,101,77,178
New Zealand,"3,397","2,006","5,403","4,147","2,402","6,549","3,943","2,079","6,022"
Nicaragua,"2,945","3,299","6,244","2,213","2,614","4,827","1,538","1,956","3,494"
Niger,"2,660",889,"3,549","5,417","1,068","6,485","20,439","2,396","22,835"
Nigeria,"1,356,396","619,175","1,975,571","1,694,975","695,783","2,390,758",N/A,N/A,N/A
Niue,199,86,285,207,90,297,33,16,49
Norfolk Island,,,N/A,58,20,78,25,24,49
North Korea,145,148,293,145,155,300,,,0
Northern Ireland,"1,487","1,042","2,529","1,551","1,009","2,560","1,443","1,005","2,448"
Norway,"2,257","1,755","4,012","2,522","1,946","4,468","2,215","1,641","3,856"
Oman,410,438,848,537,598,"1,135",589,557,"1,146"
Palau,21,12,33,25,15,40,26,22,48
Panama,"1,054",985,"2,039","1,038",968,"2,006",890,831,"1,721"
Papua New Guinea,126,159,285,153,193,346,245,222,467
Paraguay,582,533,"1,115",540,498,"1,038",423,370,793
Poland,,,N/A,"40,817","36,746","77,563","34,824","30,950","65,774"
Peru,"85,956","73,987","159,943",,,0,N/A,N/A,N/A
Portugal,"2,306","1,909","4,215","4,118","3,417","7,535","2,782","2,485","5,267"
Qatar,"1,312","1,823","3,135","1,544","2,255","3,799","1,779","2,426","4,205"
Reunion,,,0,,,0,,,0
Romania,"30,940","29,653","60,593","35,304","35,560","70,864","36,160","36,273","72,433"
Russia,"109,156","109,706","218,862","124,048","125,622","249,670","131,202","133,884","265,086"
